,item,freq,canon_segm,prs,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,n_morphemes
15464,campeurs,0.49,(camp)>eur>,"(0, 1, 1)",6,129.88,4,83.3333333333333,501,2127.06,3,63.4730538922155,2
15466,camping,4.11,(camp)>ing>,"(0, 1, 1)",6,129.88,4,33.3333333333333,20,68.61,3,30,2
15467,canadien,5.26,(canada)>ien>,"(0, 1, 1)",1,5.26,6,0,66,291.01,3,19.6969696969696,2
15470,canaillerie,0,(canaille)>erie>,"(0, 1, 1)",2,7.85,8,50,109,267.479999999999,4,97.2477064220183,2
15472,canarder,0.63,(canard)>[VB]>,"(0, 1, 1)",4,23.81,6,25,1600,25208.9699999999,2,57.9999999999999,2
15474,candidature,2.15,(candidat)>ure>,"(0, 1, 1)",2,19.25,8,50,122,595.65,3,35.2459016393442,2
15475,caneton,0.48,(canard)>eton>,"(0, 1, 1)",4,23.81,6,75,1,0.48,4,0,2
15476,canette,1.95,(canne)>ette>,"(0, 1, 1)",2,12.8799999999999,5,50,110,295.429999999999,4,28.1818181818181,2
15479,cannibalisme,1.61,(cannibale)>isme>,"(0, 1, 1)",2,6.81,9,50,91,100.85,4,21.9780219780219,2
15480,canonisez,0.1,(canon)>is[VB]>,"(0, 1, 1)",3,33.4,5,33.3333333333333,126,424.71,5,59.5238095238095,2
15481,canonnade,0.04,(canon)>ade>,"(0, 1, 1)",3,33.4,5,66.6666666666666,43,65.47,3,79.0697674418604,2
15483,canoter,0,(canot)>[VB]>,"(0, 1, 1)",2,4.58,5,50,1600,25208.9699999999,2,91.125,2
15484,cantonais,0.48,(canton)>[VB]>,"(0, 1, 1)",6,2.21,6,16.6666666666666,1600,25208.9699999999,2,62.125,2
15485,cantonale,0.34,(canton)>al>,"(0, 1, 1)",6,2.21,6,50,200,1125.04,2,68,2
15486,cantonade,0.01,(canton)>ade>,"(0, 1, 1)",6,2.21,6,83.3333333333333,43,65.47,3,86.0465116279069,2
15489,cantonnement,0.82,(canton)>ment>,"(0, 1, 1)",6,2.21,6,0,919,5042.80999999999,4,45.5930359085963,2
15491,cantonnier,0.2,(canton)>ier>,"(0, 1, 1)",6,2.21,6,66.6666666666666,181,847.1,3,75.1381215469613,2
15493,capitalisé,0.01,(capital)>is[VB]>,"(0, 1, 1)",4,15.14,7,75,126,424.71,5,75.3968253968253,2
15494,capitalisme,2.97,(capital)>isme>,"(0, 1, 1)",4,15.14,7,25,91,100.85,4,9.89010989010989,2
15495,capitaliste,2.14,(capital)>iste>,"(0, 1, 1)",4,15.14,7,50,119,322.749999999999,4,21.0084033613445,2
15497,capitonnaient,0,(capiton)>[VB]>,"(0, 1, 1)",1,0,7,0,1600,25208.9699999999,2,91.125,2
15499,capitulation,0.8,(capituler)>ion>,"(0, 1, 1)",3,4.10999999999999,9,66.6666666666666,766,3498.54,3,63.9686684073107,2
15504,capricieuse,3.37,(caprice)>eux>,"(0, 1, 1)",2,12.3099999999999,7,50,271,1027.7,3,17.7121771217712,2
15511,capteurs,1.69,(capter)>eur>,"(0, 1, 1)",7,33.8099999999999,6,57.1428571428571,501,2127.06,3,37.7245508982035,2
15512,captif,1.41,(capter)>if>,"(0, 1, 1)",7,33.8099999999999,6,71.4285714285714,168,409.409999999999,2,40.4761904761904,2
15518,capture,3.72,(capter)>ure>,"(0, 1, 1)",7,33.8099999999999,6,28.5714285714285,122,595.65,3,26.2295081967213,2
15524,capuchon,1.02,(capuche)>on>,"(0, 1, 1)",1,1.02,7,0,109,331.19,2,49.5412844036697,2
15525,caquetait,0,(caquet)>[VB]>,"(0, 1, 1)",1,0,6,0,1600,25208.9699999999,2,91.125,2
15526,carabiniers,1.94,(carabine)>ier>,"(0, 1, 1)",2,4.65,8,50,181,847.1,3,33.1491712707182,2
