,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,ROOT_2_FamSize,ROOT_2_Freq,ROOT_2_Length,ROOT_2_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,n_morphemes
27702,invraisemblable,2.1,<in<(vrai)(sembler)>able>,"(1, 2, 1)",427,1478.96,2,27.1662763466042,7,1104.72,4,28.5714285714285,11,430.199999999999,7,45.4545454545454,313,1042.69,4,27.4760383386581,4
27704,invraisemblance,0.14,<in<(vrai)(sembler)>nce>,"(1, 2, 1)",427,1478.96,2,81.4988290398126,7,1104.72,4,71.4285714285714,11,430.199999999999,7,72.7272727272727,213,1491.29,3,86.8544600938967,4
