,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,SUFF_2_FamSize,SUFF_2_Freq,SUFF_2_Length,SUFF_2_PFMF,SUFF_3_FamSize,SUFF_3_Freq,SUFF_3_Length,SUFF_3_PFMF,n_morphemes
4193,infinitésimal,0.03,<in<(fin)>ité>>ésim>>al>,"(1, 1, 3)",427,1478.96,2,89.4613583138173,21,1200.89,3,95.2380952380952,334,1491.88,3,88.3233532934131,1,0.03,4,0,200,1125.04,2,87.5,5
7742,resocialisation,0.01,<re<(socio)>al>>is[VB]>>ion>,"(1, 1, 3)",434,6595.02,2,89.1705069124423,14,177.549999999999,5,85.7142857142857,200,1125.04,2,93,126,424.71,5,75.3968253968253,766,3498.54,3,95.1697127937336,5
