,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,n_morphemes
32373,prédiction,2.06,<pré<(dict)>ion>,"(1, 1, 1)",49,209.31,3,36.734693877551,8,31.88,4,75,766,3498.54,3,40.9921671018276,3
32406,préfiguré,0,<pré<(figure)>[VB]>,"(1, 1, 1)",49,209.31,3,87.7551020408163,10,46.8999999999999,6,90,1600,25208.9699999999,2,91.125,3
32407,préformait,0,<pré<(forme)>[VB]>,"(1, 1, 1)",49,209.31,3,87.7551020408163,29,262.78,5,93.103448275862,1600,25208.9699999999,2,91.125,3
32409,préhistorien,0,<pré<(histoire)>ien>,"(1, 1, 1)",49,209.31,3,87.7551020408163,6,377.359999999999,8,83.3333333333333,66,291.01,3,93.9393939393939,3
32410,préhistorique,1.28,<pré<(histoire)>ique>,"(1, 1, 1)",49,209.31,3,48.9795918367346,6,377.359999999999,8,50,281,852.449999999999,4,42.3487544483985,3
32412,préjugé,4.93,<pré<(juge)>[VB]>,"(1, 1, 1)",49,209.31,3,18.3673469387755,6,149.38,4,50,1600,25208.9699999999,2,27.5625,3
32415,prélasseront,0,<pré<(las)>[VB]>,"(1, 1, 1)",49,209.31,3,87.7551020408163,5,10.4,3,80,1600,25208.9699999999,2,91.125,3
32417,prélèvement,4.32,<pré<(lever)>ment>,"(1, 1, 1)",49,209.31,3,24.4897959183673,10,432.67,5,50,919,5042.80999999999,4,16.4309031556039,3
32424,prématuré,3,<pré<(mature)>[VB]>,"(1, 1, 1)",49,209.31,3,30.6122448979591,5,9.25,6,0,1600,25208.9699999999,2,34.25,3
32426,prématurément,1.22,<pré<(mature)>ément>,"(1, 1, 1)",49,209.31,3,51.0204081632653,5,9.25,6,60,28,105.3,5,50,3
32427,préméditation,1.3,<pré<(méditer)>ion>,"(1, 1, 1)",49,209.31,3,46.938775510204,5,10.44,7,60,766,3498.54,3,52.088772845953,3
32461,prénommât,0,<pré<(nom)>[VB]>,"(1, 1, 1)",49,209.31,3,87.7551020408163,13,666,3,92.3076923076923,1600,25208.9699999999,2,91.125,3
32498,prépondérant,0.12,<pré<(pondér)>ant/ent>,"(1, 1, 1)",49,209.31,3,73.469387755102,1,0.12,6,0,522,3302.43999999999,7,77.9693486590038,3
32503,prérogatives,0.31,<pré<(rog)>if>,"(1, 1, 1)",49,209.31,3,65.3061224489796,1,0.31,3,0,168,409.409999999999,2,65.4761904761904,3
32515,présélection,0.04,<pré<(sélect)>ion>,"(1, 1, 1)",49,209.31,3,77.5510204081632,6,6.92,6,66.6666666666666,766,3498.54,3,92.6892950391644,3
32585,pressentiment,8.34,<pré<(sentir)>ment>,"(1, 1, 1)",49,209.31,3,12.2448979591836,28,914.42,6,25,919,5042.80999999999,4,9.79325353645266,3
32665,prévisible,2.4,<pré<(voir)>able>,"(1, 1, 1)",49,209.31,3,32.6530612244898,28,3534.49,4,42.8571428571428,313,1042.69,4,25.2396166134185,3
32666,prévision,3.28,<pré<(voir)>ion>,"(1, 1, 1)",49,209.31,3,28.5714285714285,28,3534.49,4,39.2857142857142,766,3498.54,3,30.2872062663185,3
