,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,n_morphemes
17498,contremaître,3.61,<contre<(maître),"(1, 1, 0)",20,19.71,6,5,4,185.88,6,75,2
17499,contrepartie,1.33,<contre<(partir),"(1, 1, 0)",20,19.71,6,25,15,1760.78999999999,6,53.3333333333333,2
17501,contrepoids,0.56,<contre<(poids),"(1, 1, 0)",20,19.71,6,40,2,34.98,5,50,2
17502,contrepoint,0.33,<contre<(point),"(1, 1, 0)",20,19.71,6,55,4,39.72,5,50,2
17503,contrepoison,0,<contre<(poison),"(1, 1, 0)",20,19.71,6,90,4,39.4599999999999,6,75,2
17508,contresens,0.5,<contre<(sentir),"(1, 1, 0)",20,19.71,6,45,28,914.42,6,64.2857142857142,2
17509,contretemps,1.43,<contre<(temps),"(1, 1, 0)",20,19.71,6,20,11,1340.11,5,54.5454545454545,2
17510,contrevenait,0.04,<contre<(venir),"(1, 1, 0)",20,19.71,6,85,18,3610.1,5,88.8888888888888,2
17512,contrevents,0,<contre<(vent),"(1, 1, 0)",20,19.71,6,90,8,87.3899999999999,4,87.5,2
17604,coopère,9.87,<co<(opérer),"(1, 1, 0)",24,73.72,2,4.16666666666666,11,118.81,6,18.1818181818181,2
17616,copilote,1.5,<co<(pilote),"(1, 1, 0)",24,73.72,2,41.6666666666666,4,64.95,6,75,2
18388,déambulait,1.12,<dé<(ambuler),"(1, 1, 0)",422,1752.69,2,40.7582938388625,8,35.7,7,37.5,2
18399,débarbouillée,0.5,<dé<(barbouiller),"(1, 1, 0)",422,1752.69,2,53.5545023696682,3,2.46999999999999,11,33.3333333333333,2
18489,débourre,0,<dé<(bourrer),"(1, 1, 0)",422,1752.69,2,90.2843601895734,6,43.17,7,66.6666666666666,2
18497,débraillé,0.61,<dé<(brailler),"(1, 1, 0)",422,1752.69,2,50.9478672985781,3,3.67,8,33.3333333333333,2
18503,débrouillait,44.21,<dé<(brouiller),"(1, 1, 0)",422,1752.69,2,1.89573459715639,11,82.22,9,0,2
18616,déchoir,1.44,<dé<(choir),"(1, 1, 0)",422,1752.69,2,34.1232227488151,3,3.58,5,33.3333333333333,2
18649,déclamait,0.56,<dé<(clamer),"(1, 1, 0)",422,1752.69,2,52.3696682464455,12,34.87,6,66.6666666666666,2
18716,décompose,2.11,<dé<(composer),"(1, 1, 0)",422,1752.69,2,26.7772511848341,7,31.83,8,71.4285714285714,2
18720,décompte,1.18,<dé<(compte),"(1, 1, 0)",422,1752.69,2,39.0995260663507,3,279.669999999999,6,66.6666666666666,2
18721,déconcentré,0.63,<dé<(concentrer),"(1, 1, 0)",422,1752.69,2,50.4739336492891,3,49.5999999999999,10,66.6666666666666,2
18733,déconnecté,1.56,<dé<(connecter),"(1, 1, 0)",422,1752.69,2,31.9905213270142,4,12.7,9,50,2
18743,décontracté,1.67,<dé<(contracter),"(1, 1, 0)",422,1752.69,2,30.3317535545023,2,4.42,10,50,2
18761,découche,0.37,<dé<(coucher),"(1, 1, 0)",422,1752.69,2,57.345971563981,8,244.93,7,87.5,2
18762,découdre,0.42,<dé<(coudre),"(1, 1, 0)",422,1752.69,2,56.1611374407582,3,12.9599999999999,6,66.6666666666666,2
18763,découlait,0.99,<dé<(couler),"(1, 1, 0)",422,1752.69,2,43.127962085308,4,59.64,6,50,2
18765,découpa,0.01,<dé<(couper),"(1, 1, 0)",422,1752.69,2,85.3080568720379,13,616.769999999999,6,92.3076923076923,2
18783,découvert,50.67,<dé<(couvert),"(1, 1, 0)",422,1752.69,2,1.18483412322274,4,110.37,7,0,2
18784,découverte,94.8999999999999,<dé<(couvrir),"(1, 1, 0)",422,1752.69,2,0.473933649289099,4,178.53,7,0,2
18811,décrépites,0,<dé<(crépir),"(1, 1, 0)",422,1752.69,2,90.2843601895734,4,0.19,6,50,2
18842,décroît,0.29,<dé<(croître),"(1, 1, 0)",422,1752.69,2,61.8483412322274,10,18.66,7,70,2
18853,dédaignait,1.51,<dé<(daigner),"(1, 1, 0)",422,1752.69,2,32.9383886255924,4,3.94999999999999,7,25,2
18956,défonce,10.12,<dé<(foncer),"(1, 1, 0)",422,1752.69,2,9.47867298578199,5,49.76,6,40,2
18957,défoncé,9.96,<dé<(foncé),"(1, 1, 0)",422,1752.69,2,9.71563981042654,4,22.33,5,0,2
18979,défroque,0.03,<dé<(froque),"(1, 1, 0)",422,1752.69,2,79.3838862559241,2,0.19,6,50,2
19002,dégel,0.47,<dé<(gel),"(1, 1, 0)",422,1752.69,2,54.2654028436019,9,39.39,3,55.5555555555555,2
19004,dégénère,5.9,<dé<(générer),"(1, 1, 0)",422,1752.69,2,13.2701421800947,9,40.4,7,22.2222222222222,2
19091,déjouée,1.83,<dé<(jouer),"(1, 1, 0)",422,1752.69,2,29.1469194312796,8,627.449999999999,5,50,2
19097,délaissant,1.55,<dé<(laisser),"(1, 1, 0)",422,1752.69,2,32.4644549763033,2,1409,7,50,2
19101,délassa,0,<dé<(lasser),"(1, 1, 0)",422,1752.69,2,90.2843601895734,2,14.07,6,50,2
19106,délavé,0.29,<dé<(laver),"(1, 1, 0)",422,1752.69,2,61.3744075829383,8,84.01,5,62.5,2
19120,délégué,4.82,<dé<(léguer),"(1, 1, 0)",422,1752.69,2,15.4028436018957,5,12.88,6,0,2
19124,délia,1.27,<dé<(lier),"(1, 1, 0)",422,1752.69,2,36.7298578199052,12,113.24,4,58.3333333333333,2
19154,délivrait,12.67,<dé<(livrer),"(1, 1, 0)",422,1752.69,2,7.81990521327014,6,201.749999999999,6,33.3333333333333,2
19164,déloyal,0.81,<dé<(loyal),"(1, 1, 0)",422,1752.69,2,46.6824644549763,5,21.82,5,40,2
19226,démêlais,1.6,<dé<(mêler),"(1, 1, 0)",422,1752.69,2,31.5165876777251,3,55.7299999999999,5,33.3333333333333,2
19238,démenaient,1.59,<dé<(mener),"(1, 1, 0)",422,1752.69,2,31.7535545023696,8,729.78,5,75,2
19241,démentaient,2.83,<dé<(mentir),"(1, 1, 0)",422,1752.69,2,21.8009478672985,4,228.93,6,75,2
19252,démérite,0.04,<dé<(mérite),"(1, 1, 0)",422,1752.69,2,77.2511848341232,4,104.07,6,75,2
19253,démesure,0.04,<dé<(mesure),"(1, 1, 0)",422,1752.69,2,77.2511848341232,8,53.09,6,87.5,2
19259,démets,0.459999999999999,<dé<(mettre),"(1, 1, 0)",422,1752.69,2,55.4502369668246,11,1192.07,6,63.6363636363636,2
19316,démonte,6.70999999999999,<dé<(monter),"(1, 1, 0)",422,1752.69,2,12.5592417061611,9,405.37,6,44.4444444444444,2
19321,démontre,5.77,<dé<(montrer),"(1, 1, 0)",422,1752.69,2,13.5071090047393,4,374.889999999999,7,50,2
19325,démordaient,0.01,<dé<(mordre),"(1, 1, 0)",422,1752.69,2,85.3080568720379,4,41.54,6,50,2
19326,démuni,1.33999999999999,<dé<(munir),"(1, 1, 0)",422,1752.69,2,36.0189573459715,3,3.38999999999999,5,33.3333333333333,2
19348,dénoua,1.23,<dé<(nouer),"(1, 1, 0)",422,1752.69,2,37.6777251184834,3,6.68999999999999,5,33.3333333333333,2
19377,dépassa,43.2999999999999,<dé<(passer),"(1, 1, 0)",422,1752.69,2,2.13270142180094,7,1813.77999999999,6,14.2857142857142,2
19404,dépeindre,0.66,<dé<(peindre),"(1, 1, 0)",422,1752.69,2,50,4,40.3099999999999,7,75,2
19405,dépeint,0.94,<dé<(peint),"(1, 1, 0)",422,1752.69,2,43.8388625592417,5,45.8499999999999,5,60,2
19422,dépérissement,0,<dé<(périr),"(1, 1, 0)",422,1752.69,2,90.2843601895734,5,8.88999999999999,5,80,2
19424,dépiautant,0,<dé<(piautant),"(1, 1, 0)",422,1752.69,2,90.2843601895734,1,0,8,0,2
19425,dépiauter,0.06,<dé<(piauter),"(1, 1, 0)",422,1752.69,2,75.1184834123222,1,0.06,7,0,2
19439,déplaire,6.97,<dé<(plaire),"(1, 1, 0)",422,1752.69,2,11.1374407582938,8,513.47,6,12.5,2
19474,déplu,1.23,<dé<(plu),"(1, 1, 0)",422,1752.69,2,37.9146919431279,2,30.77,3,50,2
19475,déplume,0.32,<dé<(plume),"(1, 1, 0)",422,1752.69,2,59.7156398104265,1,0.32,5,0,2
19479,dépoli,0.01,<dé<(polir),"(1, 1, 0)",422,1752.69,2,85.3080568720379,3,5.23,5,66.6666666666666,2
19480,déportait,3.95,<dé<(porter),"(1, 1, 0)",422,1752.69,2,18.2464454976303,24,892.509999999999,6,50,2
19502,dépossédé,0.29,<dé<(posséder),"(1, 1, 0)",422,1752.69,2,61.8483412322274,6,56.8799999999999,8,66.6666666666666,2
19514,dépourvu,2.81,<dé<(pourvoir),"(1, 1, 0)",422,1752.69,2,22.0379146919431,1,2.81,8,0,2
19540,déraison,0.36,<dé<(raison),"(1, 1, 0)",422,1752.69,2,57.5829383886255,13,512.439999999999,6,53.8461538461538,2
19542,dérange,127.699999999999,<dé<(ranger),"(1, 1, 0)",422,1752.69,2,0.236966824644549,3,182.269999999999,6,0,2
19599,déroula,10.68,<dé<(rouler),"(1, 1, 0)",422,1752.69,2,8.76777251184834,11,104.34,6,9.09090909090909,2
19614,déroute,1.24,<dé<(route),"(1, 1, 0)",422,1752.69,2,37.4407582938388,7,191.15,5,42.8571428571428,2
19623,désaccord,3.02,<dé<(accord),"(1, 1, 0)",422,1752.69,2,21.0900473933649,3,770.019999999999,6,33.3333333333333,2
19631,désaffecté,0.88,<dé<(affecter),"(1, 1, 0)",422,1752.69,2,45.7345971563981,7,41.44,8,71.4285714285714,2
19644,désapprouve,1.48,<dé<(approuver),"(1, 1, 0)",422,1752.69,2,33.1753554502369,5,10.56,9,40,2
19653,désarticulé,0.24,<dé<(articuler),"(1, 1, 0)",422,1752.69,2,63.5071090047393,4,2.98,9,50,2
19688,désemparé,1.73,<dé<(emparer),"(1, 1, 0)",422,1752.69,2,29.8578199052132,2,11.17,7,50,2
19692,désenchantant,0.14,<dé<(enchanter),"(1, 1, 0)",422,1752.69,2,69.6682464454976,5,73.51,9,80,2
19697,déséquilibre,0.88,<dé<(équilibre),"(1, 1, 0)",422,1752.69,2,45.9715639810426,5,15.3899999999999,9,40,2
19709,désespérait,0.06,<dé<(espérait),"(1, 1, 0)",422,1752.69,2,75.1184834123222,1,0.06,8,0,2
19711,désespère,2.59999999999999,<dé<(espérer),"(1, 1, 0)",422,1752.69,2,22.9857819905213,1,2.59999999999999,7,0,2
19712,désespéré,10.16,<dé<(espéré),"(1, 1, 0)",422,1752.69,2,9.24170616113744,2,10.33,6,0,2
19713,désespérée,6.83,<dé<(espérée),"(1, 1, 0)",422,1752.69,2,11.8483412322274,2,7.01,7,0,2
19714,désespérées,1.01,<dé<(espérées),"(1, 1, 0)",422,1752.69,2,42.8909952606635,1,1.01,8,0,2
19717,désespérés,2.75,<dé<(espérés),"(1, 1, 0)",422,1752.69,2,22.2748815165876,1,2.75,7,0,2
19718,désespoir,10.62,<dé<(espoir),"(1, 1, 0)",422,1752.69,2,9.00473933649289,6,385.95,6,33.3333333333333,2
19720,déshabilla,20.9,<dé<(habiller),"(1, 1, 0)",422,1752.69,2,4.26540284360189,5,92.74,8,20,2
19728,déshonneur,3.28,<dé<(honneur),"(1, 1, 0)",422,1752.69,2,20.3791469194312,7,171.049999999999,7,57.1428571428571,2
19746,désillusion,1.08,<dé<(illusion),"(1, 1, 0)",422,1752.69,2,41.7061611374407,4,21.22,8,25,2
19751,désinfectant,2.47,<dé<(infecter),"(1, 1, 0)",422,1752.69,2,23.6966824644549,3,23.77,8,66.6666666666666,2
19785,désobéi,4.77999999999999,<dé<(obéir),"(1, 1, 0)",422,1752.69,2,15.6398104265402,5,53.45,5,20,2
19789,désoblige,0,<dé<(obliger),"(1, 1, 0)",422,1752.69,2,90.2843601895734,9,120.67,7,88.8888888888888,2
