,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,SUFF_2_FamSize,SUFF_2_Freq,SUFF_2_Length,SUFF_2_PFMF,n_morphemes
14073,avilissants,0.03,<a<(vil)>[VB]>>ant/ent>,"(1, 1, 2)",271,2142.22,1,91.1439114391143,4,28.86,3,75,1600,25208.9699999999,2,81.625,522,3302.43999999999,7,87.7394636015325,4
16704,compartimenté,0.02,<com<(partir)>ment>>[VB]>,"(1, 1, 2)",14,28.22,3,78.5714285714285,15,1760.78999999999,6,86.6666666666666,919,5042.80999999999,4,88.683351468988,1600,25208.9699999999,2,83.4375,4
16720,complaisamment,0.01,<com<(plaire)>ant/ent>>ment>,"(1, 1, 2)",14,28.22,3,85.7142857142857,8,513.47,6,87.5,522,3302.43999999999,7,90.9961685823754,919,5042.80999999999,4,90.0979325353645,4
17101,conjonctivite,0.39,<con<(joindre)>if>>ite>,"(1, 1, 2)",56,190.18,3,62.5,17,174.299999999999,7,70.5882352941176,168,409.409999999999,2,62.5,18,30.57,3,55.5555555555555,4
17443,contorsionniste,0.34,<con<(tordre)>ion>>iste>,"(1, 1, 2)",56,190.18,3,67.8571428571428,11,25.4,6,54.5454545454545,766,3498.54,3,79.1122715404699,119,322.749999999999,4,51.2605042016806,4
18713,décolonisation,0,<dé<(colon)>is[VB]>>ion>,"(1, 1, 2)",422,1752.69,2,90.2843601895734,5,9.17,5,80,126,424.71,5,87.3015873015873,766,3498.54,3,96.6057441253263,4
18861,dédaigneusement,0.01,<dé<(daigner)>eux>>ment>,"(1, 1, 2)",422,1752.69,2,85.3080568720379,4,3.94999999999999,7,75,271,1027.7,3,88.9298892988929,919,5042.80999999999,4,90.0979325353645,4
19279,démilitarisation,0.14,<dé<(militaire)>is[VB]>>ion>,"(1, 1, 2)",422,1752.69,2,69.6682464454976,1,0.14,9,0,126,424.71,5,55.5555555555555,766,3498.54,3,86.9451697127937,4
19284,démissionnais,16.46,<dé<(mettre)>ion>>[VB]>,"(1, 1, 2)",422,1752.69,2,6.16113744075829,11,1192.07,6,18.1818181818181,766,3498.54,3,6.266318537859,1600,25208.9699999999,2,14.1875,4
19292,démobilisation,0.22,<dé<(mobile)>is[VB]>>ion>,"(1, 1, 2)",422,1752.69,2,65.1658767772511,12,37.5999999999999,6,91.6666666666666,126,424.71,5,49.2063492063492,766,3498.54,3,84.2036553524804,4
19526,dépressurisation,0.36,<dé<(pressure)>is[VB]>>ion>,"(1, 1, 2)",422,1752.69,2,57.5829383886255,2,0.55,8,0,126,424.71,5,43.6507936507936,766,3498.54,3,78.3289817232376,4
